restaurant,address,city,state,zipcode,inspection_date,score,latitude,longitude
Trophy Club Of Atlanta,15135 Hopewell RD,Alpharetta,GA,30004,2019-03-12,100,34.1454932,-84.2864449
Antioch Baptist Church North,540 Cameron M Alexander N,Atlanta,GA,30318,2018-11-29,100,33.7678390,-84.4053840
Taqueria Del Sol,1200-B Howell Mill RD,Atlanta,GA,30318,2019-03-01,92,33.7870681,-84.4117596
El Porton,11190 Alpharetta HWY,Alpharetta,GA,30076,2019-07-02,99,34.0529021,-84.3337036
H.J.C. Bowden Senior Multipurpose Facility,2885 Church ST,Eastpoint,GA,30344,2019-07-15,92,33.6769036,-84.4449246
Hammer's Restaurant & Bar,898 Virginia AVE,Hapeville,GA,30354,2019-06-21,85,33.6586910,-84.4188161
Kenley's Catering & Sandwich Shop,75 Piedmont AVE NE STE 152,Atlanta,GA,30303,2020-01-21,100,33.7567065,-84.3818960
Canton Chopsticks,1923 Howell Mill RD,Atlanta,GA,30318,2019-03-21,96,33.8072904,-84.4123743
Sunny Garden,3879 Washington RD,Eastpoint,GA,30344,2019-07-19,84,33.6498977,-84.4907950
Hapeville Elementary School,3440 North Fulton AVE,Hapeville,GA,30354,2019-10-23,100,33.6608808,-84.4060272
Taste Of Tropical,530-K Joseph E Lowery BLVD,Atlanta,GA,30314,2020-01-27,83,33.7692410,-84.4176564
Holiday Inn Express,2950 Mansell,Alpharetta,GA,30022,2019-11-19,100,34.0381715,-84.2974082
The Gold Club,2284 Cheshire Bridge STE C,Atlanta,GA,30324,2018-01-03,96,33.8174879,-84.3525552
Harriett G. Darnell Senior Multipurpose Facility - FSP,677 Fairburn RD NW,Atlanta,GA,30331,2019-06-10,91,33.7736642,-84.4988464
Thumbs Up Diner,573 Edgewood AVE,Atlanta,GA,30312,2019-11-04,91,33.7541338,-84.3685188
Lin's Chinese Cuisine,12850 Highway 9 STE 1600,Alpharetta,GA,30004,2019-09-19,97,34.0962464,-84.2781623
Taco Mac,685 Crossville,Roswell,GA,30075,2019-07-11,94,34.0594529,-84.3820080
Ocean Wave,820 North Highland AVE,Atlanta,GA,30306,2019-04-16,96,33.7769371,-84.3526953
Haynes Bridge Middle School,10665 Haynes Bridge,Alpharetta,GA,30201,2019-09-19,100,34.0406389,-84.2818922
Aria,490 East Paces Ferry,Atlanta,GA,30305,2019-03-11,99,33.8387692,-84.3719068
Starbucks Coffee,9700 Medlock Bridge,Duluth,GA,30097,2019-02-07,100,34.0175527,-84.1923682
P.F. Chang's,7925 North Point PKWY,Alpharetta,GA,30022,2019-04-11,100,34.0387403,-84.3071174
Smoothie King,6309 Roswell RD STE IG,Atlanta,GA,30328,2020-03-12,100,33.9271240,-84.3784170
Dorothy C. Benson Senior Multipurpose Complex,6500 Vernon Woods DR,Atlanta,GA,30328,2019-01-07,96,33.9293263,-84.3779565
Summit Hill Elementary School,13855 Providence,Alpharetta,GA,30004,2020-03-04,100,34.1209375,-84.3201024
Mt. Olive Seventh Day Adventist Church,3366 Mount Olive RD,Eastpoint,GA,30344,2019-09-04,99,33.6641501,-84.4771863
Star Pizza,1000 Marietta HWY STE 600,Roswell,GA,30075,2019-07-11,85,34.0052845,-84.3908759
American Deli,840 Oak ST,Atlanta,GA,30310,2019-04-05,86,33.7392437,-84.4156804
Highland Tap,1026 North Highland AVE NE,Atlanta,GA,30306,2019-07-16,88,33.7826396,-84.3546023
Eclipse De Luna,764 Miami CIR STE 138,Atlanta,GA,30324,2018-01-30,96,33.8315906,-84.3622556
Highpoint Elementary School,520 Greenland,Atlanta,GA,30342,2019-03-14,99,33.8991309,-84.3703850
Goldbergs Bagels And Deli,1272 West Paces Ferry RD,Atlanta,GA,30327,2020-02-07,89,33.8479723,-84.4288087
Holcomb Bridge Middle School,2700 Holcomb Bridge,Alpharetta,GA,30022,2020-02-04,100,33.9935051,-84.2832399
StarbucksCoffee #8318,11770 Haynes Bridge,Alpharetta,GA,30004,2019-05-14,100,34.0697338,-84.2945836
Dagwood'sPizza - Deli,7746 Spalding DR,Norcross,GA,30092,2019-10-04,100,33.9687457,-84.2601958
Pasta Vino,11130 State Bridge RD STE F103,Alpharetta,GA,30022,2019-04-23,91,34.0554428,-84.2287852
Covenant Community,623 Spring ST NW,Atlanta,GA,30308,2019-07-15,90,33.7717138,-84.3886796
Chick-Fil-A,1185 Woodstock RD,Roswell,GA,30075,2019-10-24,100,34.0621543,-84.3994142
Honey Baked Ham,7601 North Point PKWY,Alpharetta,GA,30022,2019-06-21,100,34.0407585,-84.3055078
Hong Kong Harbor,2184 Cheshire Bridge RD,Atlanta,GA,30324,2019-03-05,93,33.8145294,-84.3537736
Horseradish Grill,4320 Powers Ferry RD,Atlanta,GA,30342,2019-03-25,97,33.8728089,-84.3964382
Heritage Elementary School,2600 Jolly,College Park,GA,30349,2019-09-09,100,33.6112719,-84.4746037
Cabernet,5575 Windward PKWY,Alpharetta,GA,30004,2019-03-12,96,34.0868959,-84.2644643
Taco Bell,2951 Legion WAY,Eastpoint,GA,30344,2019-06-20,98,33.6745634,-84.4427225
Waffle House #1271,2940 Mansell,Alpharetta,GA,30022,2020-01-24,100,34.0379115,-84.2978811
Manning Oaks Elementary School,405 Cumming ST,Alpharetta,GA,30004,2019-09-23,100,34.0827844,-84.2765247
Atlanta Athletic Club (Snack Bar),1930 Bobby Jones DR,Johns Creek,GA,30097,2019-12-05,100,34.0042999,-84.1922735
Starbucks Coffee,3330 Piedmont RD,Atlanta,GA,30305,2019-10-23,100,33.8457987,-84.3744938
Houston's,2166 Peachtree N,Atlanta,GA,30309,2019-05-10,96,33.8134575,-84.3927643
Arby's #7043,3900 Brookside PKWY,Alpharetta,GA,30022,2019-07-01,100,34.0614294,-84.2464422
Huntcliff Summit,8592 Roswell RD,Atlanta,GA,30350,2019-09-03,91,33.9878570,-84.3522760
Hunter Hill 1st Baptist Church,166 Edwards ST,Atlanta,GA,30314,2019-06-19,88,33.7597613,-84.4351319
Arby's #1838,4615 Jonesboro RD,Union City,GA,30291,2019-05-15,91,33.5688413,-84.5387030
Starbucks,1544 Piedmont AVE STE 232,Atlanta,GA,30324,2019-08-21,91,33.7978426,-84.3708838
Benihana,2143 Peachtree RD,Atlanta,GA,30309,2020-02-13,92,33.8127251,-84.3917570
Dunkin' Donut,98 Forsyth ST,Atlanta,GA,30303,2019-11-19,98,33.7574298,-84.3889032
Embassy Suites Hotel Kitchen,3285 Peachtree RD NE,Atlanta,GA,30305,2019-03-11,96,33.8445705,-84.3690604
Mr. C's,1983 Howell Mill RD,Atlanta,GA,30018,2019-07-15,98,33.8086767,-84.4126492
International House Of Pancakes,6120 Roswell RD,Atlanta,GA,30328,2019-11-14,96,33.9221762,-84.3795650
International House Of Pancake,6902 Londonderry WAY,Union City,GA,30291,2019-07-15,85,33.5693721,-84.5378841
Starbucks Coffee,3660 Cascade RD,Atlanta,GA,30331,2019-04-12,95,33.7227866,-84.5071026
Ansley Golf Club @ Settindown Creek,5500 Settindown DR,Roswell,GA,30075,2019-09-27,100,34.1052802,-84.4172255
Central Training Center,425 Langhorn ST,Atlanta,GA,30310,2019-04-24,95,33.7436233,-84.4328573
Ippolito's,6623 Roswell RD,Atlanta,GA,30328,2020-01-24,99,33.9354072,-84.3772385
Dogwood Forest Of Dunwoody,7400 Peachtree Dunwoody RD,Atlanta,GA,30328,2019-11-14,88,33.9567620,-84.3546613
Blessed Trinity High School,11320 Woodstock RD,Roswell,GA,30075,2020-02-04,100,34.0552150,-84.3908349
El Azteca Mexican Restaurant #6,5925 Roswell RD NE,Sandy Springs,GA,30328,2020-01-27,100,33.9170797,-84.3777551
Club Wax,4375 Commerce DR STE B,Atlanta,GA,30336,2017-05-25,95,33.7633747,-84.5322123
J. Christopher's,227 Sandy Springs Place STE A,Atlanta,GA,30328,2019-06-20,89,33.9203086,-84.3814423
China Cafeteria,3613 Martin Luther King Jr. DR SW,Atlanta,GA,30331,2019-07-09,88,33.7603586,-84.5058940
J.W. Marriott Lenox Hotel Main,3300 Lenox RD,Atlanta,GA,30326,2020-01-06,96,33.8467259,-84.3624199
Fritti,311 North Highland AVE,Atlanta,GA,30307,2020-02-25,88,33.7629898,-84.3577263
Roxx,1824 Cheshire Bridge RD,Atlanta,GA,30324,2018-02-21,93,33.8093214,-84.3630360
J.W. Marriott-Lenox Hotel Room,3300 Lenox RD,Atlanta,GA,30326,2020-01-06,100,33.8467259,-84.3624199
Dunwoody Springs Elementary School,8100 Roberts DR,Atlanta,GA,30350,2020-02-20,96,33.9767699,-84.3429243
Jalisco Mexican Restaurant,2337 Peachtree RD,Atlanta,GA,30305,2019-06-05,92,33.8188087,-84.3876950
Ocee Elementary School,4375 Kimball Bridge,Alpharetta,GA,30022,2020-02-10,100,34.0528291,-84.2310176
Patrick's Sub Shop,1200 Collier RD NW,Atlanta,GA,30318,2019-09-10,92,33.8112060,-84.4270933
McDonald's,443 Moreland AVE,Atlanta,GA,30316,2019-05-08,93,33.7418260,-84.3495835
Java Jive,790 Ponce De Leon AVE,Atlanta,GA,30306,2019-11-19,94,33.7740211,-84.3614752
China Heaven,2880 Holcomb Bridge RD STE 128,Alpharetta,GA,30022,2020-03-04,83,33.9907060,-84.2749562
Arlington Christain School,4500 Ridge RD,Fairburn,GA,30213,2019-11-06,88,33.6349518,-84.6527350
Abbotts Hill Elementary School,5575 Abbotts Bridge RD,Johns Creek,GA,30097,2019-09-16,100,34.0549791,-84.1959823
Johnny's New York Style Pizza & Subs,834 Virginia AVE,Hapeville,GA,30354,2019-12-05,96,33.6588201,-84.4161381
Han's II Take Out Only,2740 Greenbriar PKWY,Atlanta,GA,30331,2020-01-14,88,33.6885882,-84.4887112
Ria's Bluebird,421 Memorial DR,Atlanta,GA,30312,2019-04-30,83,33.7465353,-84.3736520
Starbucks Coffee #8340,506 Moreland AVE NE,Atlanta,GA,30307,2018-12-06,96,33.7681245,-84.3495219
Kentucky Fried Chicken #143,676 Holcomb Bridge RD,Roswell,GA,30075,2019-12-16,83,34.0337509,-84.3412024
Piedmont Driving Club,4405 Camp Creek PKWY,Atlanta,GA,30331,2020-01-06,95,33.6738980,-84.5314760
Portofino,3199 Paces Ferry PLZ,Atlanta,GA,30305,2019-11-04,95,33.8419926,-84.3815974
Agave' Restaurant,242 Boulevard SE,Atlanta,GA,30312,2019-07-11,94,33.7479639,-84.3679471
Oz Pizza / Coffee House,2805 Main ST,Eastpoint,GA,30344,2019-06-19,86,33.6788045,-84.4405352
Brooklyn Bagel Bakery Company,9925 Haynes Bridge STE 740,Alpharetta,GA,30022,2019-10-23,100,34.0231649,-84.2675497
Mount Vernon Village,475 Mount Vernon HWY,Atlanta,GA,30328,2019-12-02,96,33.9134685,-84.4027992
Grouchy's,11525 Haynes Bridge,Alpharetta,GA,30004,2019-09-18,93,34.0620498,-84.2895544
Baraonda,710 Peachtree ST STE 200,Atlanta,GA,30308,2019-09-16,93,33.7741828,-84.3848792
Arby's #5377,8753 Roswell RD,Atlanta,GA,30350,2019-09-12,97,33.9956930,-84.3504873
Summer Set,3711 Benjamin E. Mays DR,Atlanta,GA,30331,2019-03-11,80,33.7408390,-84.5090720
Wendy's,1100 North Point DR,Alpharetta,GA,30022,2019-11-14,100,34.0506156,-84.2875187
Arby's #6959,665 Crossville RD,Roswell,GA,30075,2019-06-25,100,34.0588159,-84.3808789
Athens Greek Restaurant,10753 Alpharetta HWY,Roswell,GA,30075,2019-10-25,100,34.0412888,-84.3409970
Krystal #02,1055 Holcomb Bridge RD,Roswell,GA,30076,2020-01-22,100,34.0235084,-84.3302518
Krystal #08,2509 North Main ST,Eastpoint,GA,30344,2019-10-23,91,33.6867961,-84.4397547
Krystal #12,3037 Piedmont RD,Atlanta,GA,30305,2020-03-09,99,33.8379637,-84.3680670
Krystal #26,5235 Old National HWY,College Park,GA,30349,2019-10-10,95,33.6129992,-84.4727795
Chick-Fil-A,4285 Roswell RD,Atlanta,GA,30342,2018-05-21,97,33.8719305,-84.3805123
Elmyr,1091 Euclid AVE,Atlanta,GA,30307,2019-11-25,95,33.7636170,-84.3513384
Krystal #42,626 Fourteenth ST NW,Atlanta,GA,30318,2019-05-29,99,33.7858938,-84.4078486
Krystal #43,349 Cleveland AVE S,Atlanta,GA,30315,2019-05-13,95,33.6815630,-84.4009123
Krystal #46,4644 Jonesboro RD,Union City,GA,30291,2019-06-13,90,33.5685234,-84.5401465
Jason's Deli,3070 Windward PLZ STE T,Alpharetta,GA,30005,2020-01-28,91,34.0933103,-84.2412232
Fogo De Chao Churrascaria,3101 Piedmont RD,Atlanta,GA,30305,2020-03-09,99,33.8406527,-84.3693607
StarbucksCoffee # 8378,3070 Windward PLZ,Alpharetta,GA,30005,2019-01-16,100,34.0933103,-84.2412232
La Fiesta,4790 Jonesboro RD,Union City,GA,30291,2019-12-16,87,33.5697229,-84.5453568
La Fiesta Mexican Restaurant,1419 Virginia AVE,College Park,GA,30344,2019-01-10,93,33.6598834,-84.4354007
Atlanta Athletic Club (Halfway House),1930 Bobby Jones DR,Johns Creek,GA,30097,2019-12-05,100,34.0042999,-84.1922735
La Fonda Latina,4427 Roswell RD,Atlanta,GA,30342,2020-01-06,100,33.8758484,-84.3804403
Wing Depot - Take Out Only,3389 Roosevelt HWY,College Park,GA,30349,2019-09-24,84,33.6221542,-84.4999404
Park Tavern Brewery And Restaurant,500 10th ST NE,Atlanta,GA,30309,2019-10-17,100,33.7822276,-84.3692580
Quality Living Services,4001 Danforth RD,Atlanta,GA,30310,2018-09-19,93,33.7266510,-84.5196383
Atlanta Athletic Club (Kitchen),1930 Bobby Jones DR,Johns Creek,GA,30097,2019-12-04,95,34.0042999,-84.1922735
Lagrotta Ristorante Ital,2637 Peachtree RD NE,Atlanta,GA,30305,2019-09-05,85,33.8266717,-84.3869348
Apache Cafe,64 3rd ST,Atlanta,GA,30308,2018-12-17,92,33.7736989,-84.3895122
Atlanta Athletic Club (Main Bar),1930 Bobby Jones DR,Johns Creek,GA,30097,2018-08-10,96,34.0042999,-84.1922735
Babette's Cafe (Restaurant),573 North Highland AVE,Atlanta,GA,30307,2019-06-13,92,33.7700112,-84.3522537
Atlanta Athletic Club (Mens Locker Rm),1930 Bobby Jones DR,Johns Creek,GA,30097,2018-08-10,95,34.0042999,-84.1922735
Mellow Mushroom,3070 Windward PLZ,Alpharetta,GA,30005,2020-01-27,100,34.0933103,-84.2412232
El Torero #8,625 Crossville RD,Roswell,GA,30075,2019-11-05,96,34.0595024,-84.3802425
Jason's Deli,3330 Piedmont RD NE STE 19,Atlanta,GA,30305,2020-01-07,96,33.8457987,-84.3744938
Carroll Street Cafe,208 Carroll ST SE,Atlanta,GA,30312,2019-11-08,84,33.7489733,-84.3679438
Anis Cafe And Bistro,2974 Grandview AVE,Atlanta,GA,30305,2019-09-12,91,33.8357466,-84.3766496
Farmer's Basket,3393 Peachtree RD STE 1012,Atlanta,GA,30326,2020-03-10,99,33.8465156,-84.3626785
The Capital Grille,255 East Paces Ferry RD,Atlanta,GA,30305,2019-09-11,97,33.8388378,-84.3789933
Thai Thai Take Out And Delivery,11525 Haynes Bridge RD,Alpharetta,GA,30004,2018-02-06,91,34.0620498,-84.2895544
Starbucks,930 Marietta HWY STE 400,Roswell,GA,30075,2019-09-17,100,34.0049548,-84.3898291
Peachtree Club,999 Peachtree ST NE STE 2800,Atlanta,GA,30309,2019-06-12,100,33.7811208,-84.3836503
"Elbow Room, Inc.",248 Pharr RD,Atlanta,GA,30305,2019-06-04,100,33.8372763,-84.3792160
Atlanta Wings,3 Joseph E Lowery BLVD,Atlanta,GA,30314,2019-05-29,100,33.7544594,-84.4179392
GNC Smoothie Shop,3695 Cascade RD STE - H,Atlanta,GA,30331,2018-07-18,91,33.7249760,-84.5083727
Atlanta Area Tech Demo Kit,1560 Metropolitan PKWY,Atlanta,GA,30315,2019-10-10,96,33.7117700,-84.4077930
Longhorn Steakhouse,10845 Medlock Bridge,Duluth,GA,30097,2019-03-18,99,34.0462396,-84.1779252
Atlanta Area Tech School,1560 Metropolitan PKWY,Atlanta,GA,30315,2019-10-10,93,33.7117700,-84.4077930
Love Hall Westminster,1424 West Paces Ferry RD,Atlanta,GA,30327,2019-10-09,97,33.8476086,-84.4334235
Love T Nolan Elementary School,2725 Creel RD,College Park,GA,30349,2019-10-17,96,33.5721568,-84.4811033
Lovett School,4075 Paces Ferry RD NW,Atlanta,GA,30327,2019-10-16,94,33.8610152,-84.4517646
Hembree Springs Elementary,815 Hembree,Roswell,GA,30076,2019-09-16,100,34.0666716,-84.3356143
Slope's B B Q,34 Crossville,Roswell,GA,30075,2019-06-28,100,34.0481819,-84.3616288
Regal Cinemas Concession,9700 Medlock Bridge,Duluth,GA,30097,2019-11-22,100,34.0175527,-84.1923682
Waffle House #1300,2850 Holcomb Bridge RD,Alpharetta,GA,30022,2019-10-22,87,33.9911710,-84.2784460
Springhill Suites,12730 Deerfield PKWY,Alpharetta,GA,30004,2019-12-06,100,34.0920920,-84.2717867
Domino's Pizza #4193,13695 Highway 9,Alpharetta,GA,30004,2019-11-07,98,34.1142949,-84.2683313
Residence Inn,1325 North Point DR,Alpharetta,GA,30022,2019-12-12,100,34.0510971,-84.2908354
North River Tavern,8879 Roswell RD,Atlanta,GA,30350,2019-11-12,100,34.0011589,-84.3499738
Hampton Inn And Suites,3450 Bobby Brown PKWY,Atlanta,GA,30344,2019-11-26,92,33.6613833,-84.4290421
Waffle House #412,2264 Cheshire Bridge RD,Atlanta,GA,30324,2019-06-25,98,33.8169534,-84.3525823
Creekview Elementary,3995 Webb Bridge,Alpharetta,GA,30005,2020-02-20,100,34.0740853,-84.2417926
Elkins Pointe Middle School,11290 Elkins,Roswell,GA,30076,2019-09-16,100,34.0583140,-84.3372785
River Trail Middle School,10795 Rogers CIR,Duluth,GA,30097,2020-02-13,100,34.0432933,-84.1236761
Wisteria Restaurant,471 North Highland AVE,Atlanta,GA,30307,2016-11-30,88,33.7668183,-84.3528288
Woodward Academy,3400 Madison AVE,College Park,GA,30337,2019-09-26,91,33.6625610,-84.4389053
