name,STREETADDRESS,STREETCITY,STREETSTATE,STREETCOUNTRY,STREETZIPCODE,STREETCOUNTY,STREETMSA,Employment (Individual Site - Current Year),PRIMARYNAICS,Category,SubCategory,SIC8DIGIT,Description,coi_sector,COI Sub-sector,lat,lon
NEW TRUCKING- LLC,2255 BERRY HALL RD SE,BETHLEHEM,GA,USA,30620-4603,BARROW,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.962712,-85.5421091
HILLSHIRE BRANDS,10 DARLINGTON DR SW,ROME,GA,USA,30161-4708,FLOYD,0,8,488490,OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION,TRUCK TERMINAL FACILITY,42310000,TRUCKING TERMINAL FACILITIES,TRUCK,,34.971967,-85.518021
COMMERCIAL STORAGE NE LLC,1010 HUNTCLIFF STE 2315,ATLANTA,GA,USA,30350-1898,FULTON,43,2,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,WAREHOUSING,,34.8657239,-85.514275
PLANTERS WAREHOUSE INC,304 FULLINGTON AVE,PINEHURST,GA,USA,31070-7559,DOOLY,0,10,493130,FARM PRODUCT WAREHOUSING AND STORAGE,COTTON STORAGE,42219901,COTTON COMPRESSES AND WAREHOUSES,WAREHOUSING,Farm Product,34.871342,-85.509422
OLD ELLIS STORAGE,1205 OLD ELLIS RD,ROSWELL,GA,USA,30076-3842,FULTON,43,2,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,OTHER,,34.8887685,-85.4992096
BIG LORI'S TRUCKING,455 WILBANKS RD,CHATSWORTH,GA,USA,30705-6728,MURRAY,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",EARTH & DEBRIS REMOVAL,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.5191565,-85.493037
HEAL ASSOCIATES LLC,360 TRELAWNEY CIR,COVINGTON,GA,USA,30016-6872,NEWTON,43,2,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310000, FREIGHT TRANSPORTATION ARRANGEMENT ,FREIGHT FORWARDING,,34.4831401,-85.4779608
RELIABLE 3B TRUCKING LLC,3187 ISLESWORTH TRCE,DULUTH,GA,USA,30097-6287,FULTON,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.950959,-85.470893
BEN L SMITH,999 BART MANOUS RD,CANTON,GA,USA,30115-6517,CHEROKEE,43,1,484220,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129905,DUMP TRUCK HAULAGE,TRUCK,Dump Truck,34.946523,-85.468684
JDL TRUCKING LLC,919 DALLAS WAY,LAWRENCEVILLE,GA,USA,30046-3311,GWINNETT,43,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.8264758,-85.4631404
PRECIOUS CARGO MOVERS,40 MOUNT ZION RD SE,ATLANTA,GA,USA,30354-2141,FULTON,43,2,488210,SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION,TRANSPORTATION SERVICES,47890100, CARGO LOADING AND UNLOADING SERVICES ,RAIL,,34.5004508,-85.4413156
ABM AVIATION- INC.,6000 N TERMINAL PKWY,ATLANTA,GA,USA,30320-7400,FULTON,43,400,488119,OTHER AIRPORT OPERATIONS,AIRPORT/AIRPORT SERVICES,45810000,AIRPORTS FLYING FIELDS AND SERVICES,AIR,,34.9049002,-85.4387957
RHETT R KNIGHT,43 CHINA HILL RD,MILAN,GA,USA,31060-3917,DODGE,0,3,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.3828905,-85.4278008
KIRKLAND TRUCKING- LLC,748 HALLS BRIDGE RD,SWAINSBORO,GA,USA,30401-5637,EMANUEL,0,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.8478871,-85.4240359
WINGFIELD TRUCKING LLC,3692 CASEYS CV,ELLENWOOD,GA,USA,30294-6265,DEKALB,43,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.738633,-85.421682
RENFROE RV AND BOAT STORAGE,930 DAILEY MILL RD,MCDONOUGH,GA,USA,30253-5469,HENRY,43,2,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,OTHER,,34.261905,-85.409805
HILL QUALITY CARRIER LLC,406 KINGSPORT DR,LAWRENCEVILLE,GA,USA,30046-7609,GWINNETT,43,2,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,34.5410257,-85.4078297
VB MOVERS INC,1183 FOXCROFT DR,MCDONOUGH,GA,USA,30253,HENRY,43,10,488210,SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION,TRANSPORTATION SERVICES,47890100, CARGO LOADING AND UNLOADING SERVICES ,RAIL,,34.7149519,-85.399294
LOCKWOOD TRANSPORTATION LLC,1880 DOVE DR SW,ATLANTA,GA,USA,30331-7724,FULTON,43,1,484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS THAN TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42139907,LESS-THAN-TRUCKLOAD (LTL),TRUCK,Dry Van,34.4053673,-85.3982731
JD TRUCKING,18 IRENE ST,TOCCOA,GA,USA,30577-1691,STEPHENS,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.89967,-85.3953292
KOZARSKY AVIATION- INC.,10 ASHEWORTH CT NW,ATLANTA,GA,USA,30327-1531,FULTON,43,3,488119,OTHER AIRPORT OPERATIONS,AIRPORT/AIRPORT SERVICES,45810000,AIRPORTS FLYING FIELDS AND SERVICES,AIR,,34.5792237,-85.3846813
BUFORD DAM RD BOAT STORAGE,2121 BUFORD DAM RD,BUFORD,GA,USA,30518-2226,GWINNETT,43,2,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,OTHER,,34.5058621,-85.3782734
H & W TRANSFER AND CARTAGE SERVICE- INC.,404 S FURNACE ST,CEDARTOWN,GA,USA,30125-3546,POLK,0,45,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42139903,CONTRACT HAULERS,TRUCK,Dry Van,34.86593,-85.3781149
A 2 B HAULING LLC,1160 TAYLORS MILL RD,FORT VALLEY,GA,USA,31030-7439,PEACH,0,4,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129909," LIGHT HAULAGE AND CARTAGE, LOCAL ",TRUCK,Local,34.4223952,-85.3699006
B.L.O.O.M. TRANSPORT- LLC,7491 ST DAVID ST,FAIRBURN,GA,USA,30213-3046,FULTON,43,3,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL LOCAL TRUCKING OPERATOR,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,34.9714217,-85.3617651
LEADERS LEVEL UP LLC,6320 MAID MARION CLOSE,ALPHARETTA,GA,USA,30005-6401,FULTON,43,1,492210,LOCAL MESSENGERS AND LOCAL DELIVERY,COURIER SERVICE,42159903," PACKAGE DELIVERY, VEHICULAR ",TRUCK,Courier/Parcel,34.5121815,-85.3574961
MDR TRUCKING INC,509 TRIUNE MILL RD,THOMASTON,GA,USA,30286-4215,UPSON,0,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.4532866,-85.3568618
JBC TRUCKING INC,2907 BURT CREEK RD,DAWSONVILLE,GA,USA,30534-3143,DAWSON,0,2,484220,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129905,DUMP TRUCK HAULAGE,TRUCK,Dump Truck,34.4896897,-85.3566598
JTS TRUCKING INC,2603 YONAH HOMER RD,LULA,GA,USA,30554-3938,HALL,0,4,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.5090574,-85.3560345
PILOT RESTORATION- LLC,238 LITTLE RANCH RD,WOODSTOCK,GA,USA,30188-1997,CHEROKEE,43,2,488119,OTHER AIRPORT OPERATIONS,AIRPORT/AIRPORT SERVICES,45810000,AIRPORTS FLYING FIELDS AND SERVICES,AIR,,34.9643517,-85.3543798
FROM THE GROUND UP,2913 11TH AVE,COLUMBUS,GA,USA,31904-8222,MUSCOGEE,133,1,492210,LOCAL MESSENGERS AND LOCAL DELIVERY,COURIER SERVICE,42159903," PACKAGE DELIVERY, VEHICULAR ",TRUCK,Courier/Parcel,34.4716942,-85.3541949
ALLWAY TRANSPORTATION INC,3597 INDIAN ROCK RD SW,ATLANTA,GA,USA,30331-5311,FULTON,43,3,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRANSPORTATION SERVICE,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,34.470697,-85.3538551
A AND A MOVING AND STORAGE CO.,4323 OLD MACON RD,COLUMBUS,GA,USA,31907-2246,MUSCOGEE,133,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING-WITH STORAGE,42140000, LOCAL TRUCKING WITH STORAGE ,TRUCK,Local,34.9243403,-85.3487292
CANOOCHEE TRANSPORT INC.,16052 GA HIGHWAY 129 N,CLAXTON,GA,USA,30417-5230,EVANS,0,20,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR TRUCKING OPERATOR-NONLOCAL,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.5396505,-85.3473972
DELIVERY OVERLOAD,6850 DERBY AVE,FAIRBURN,GA,USA,30213-2077,FULTON,43,3,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129903," DELIVERY SERVICE, VEHICULAR ",TRUCK,Local,34.4981931,-85.3463477
STEVENS GLOBAL LOGISTICS- INC.,5673 OLD DIXIE HWY # 120,FOREST PARK,GA,USA,30297-2671,CLAYTON,43,7,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT AIR COURIER SERVICES,47310200, FREIGHT FORWARDING ,FREIGHT FORWARDING,,34.4847401,-85.3450427
PINE STREET RENTALS INC,800 PINE ST,CALHOUN,GA,USA,30701-2376,GORDON,0,1,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,OTHER,,34.260624,-85.341994
JUAN FERMAINT,5332 PINNACLE PEAK LN,NORCROSS,GA,USA,30071-4914,GWINNETT,43,2,488210,SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION,TRANSPORTATION SERVICES,47890102, FREIGHT CAR LOADING AND UNLOADING ,RAIL,,34.2606346,-85.3419678
PROFESSIONAL ASSET RECOVERY OF GEORGIA- LLC,2861 STANTON RD SE,CONYERS,GA,USA,30094-2651,ROCKDALE,43,3,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310104, TRUCK TRANSPORTATION BROKERS ,TRUCK,,34.1055333,-85.3384285
SAM K TRANSPORT CO,5895 KAYRON DR,ATLANTA,GA,USA,30328-5145,FULTON,43,2,488210,SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION,TRANSPORTATION SERVICES,47890100, CARGO LOADING AND UNLOADING SERVICES ,RAIL,,34.201783,-85.336352
BRUCES MANAGEMENT INC,461 WELLINGTON DR,BYRON,GA,USA,31008-7764,PEACH,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.1075975,-85.3363434
TRIPLE S TRANSPORTATION- INC.,245 VALLEYBROOK DR,ATHENS,GA,USA,30606-2467,CLARKE,42,10,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.5329182,-85.3282206
DAYA TRUCKING LLC,5626 LAWLEY DR,ALPHARETTA,GA,USA,30022-8669,FULTON,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.9033107,-85.3260805
JHJ TRUCKING LLC,1802 SUMNER RD S,SUMNER,GA,USA,31789-4420,WORTH,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.2616282,-85.3251244
GEORGIA EQUIPMENT TRANSPORT- INC,7085 HIGHWAY 100,BUCHANAN,GA,USA,30113-2507,HARALSON,0,2,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR NON-LOCAL,42139904,HEAVY HAULING NEC,TRUCK,,34.9393252,-85.3247479
FMG TRUCKING CO INC,3626 HIGHWAY 115 W,CLEVELAND,GA,USA,30528-4424,WHITE,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.2630477,-85.323375
BALCAMUN AVIATION SERVICES LLC,95 YORKSHIRE PL,NEWNAN,GA,USA,30265-1995,COWETA,0,3,488119,OTHER AIRPORT OPERATIONS,AIRPORT/AIRPORT SERVICES,45810000,AIRPORTS FLYING FIELDS AND SERVICES,AIR,,36.420816,-85.322014
JJAMBB TRUCKING LLC,6510 W LEE ST,DAWSON,GA,USA,39842-3140,TERRELL,0,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.6960855,-85.3214451
PRIME STORAGE USA LLC,3103 N DECATUR RD,SCOTTDALE,GA,USA,30079-1100,DEKALB,43,2,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,OTHER,,33.618906,-85.319801
N.T.'S DUMP TRUCK SERVICES- INC.,466 HICKORY HILLS DR,LITHONIA,GA,USA,30058,DEKALB,43,2,484220,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129905,DUMP TRUCK HAULAGE,TRUCK,Dump Truck,34.195332,-85.317469
FAMOUS AMOS TRUCKING INC,2881 DARRAH CT SW,ATLANTA,GA,USA,30331-5335,FULTON,43,1,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,34.8483995,-85.3151606
MSJ TRUCKING INC,205 E COUNTY RD APT 7C,THOMASTON,GA,USA,30286-2242,UPSON,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.262714,-85.3134804
SONAR LOGISTICS LLC,3 INDEPENDENCE PL NW,ATLANTA,GA,USA,30318-1506,FULTON,43,2,488210,SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION,TRANSPORTATION SERVICES,47890100, CARGO LOADING AND UNLOADING SERVICES ,RAIL,,34.9616043,-85.313091
44 TRUCKING- LLC,751 MARS HILL RD,HOBOKEN,GA,USA,31542-3645,BRANTLEY,0,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.6915197,-85.3117032
CECIL EUNICE TRUCKING CO INC,2641 MIDWAY CHURCH RD,BLACKSHEAR,GA,USA,31516-4932,PIERCE,0,17,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.5152375,-85.3112529
DELTA STAR CORPORATION,16 FOREST PKWY BSMT,FOREST PARK,GA,USA,30297-2087,CLAYTON,43,2,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING COMPANY EXCEPT LOCAL,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,33.9433524,-85.3092685
BD DELIVERIES LLC,378 ANTIOCH CHURCH RD,CLIMAX,GA,USA,39834-2803,DECATUR,0,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129903," DELIVERY SERVICE, VEHICULAR ",TRUCK,Local,34.6659522,-85.3091494
ATLANTA PUBLIC SCHOOLS,1661 METROPOLITAN PKWY SW,ATLANTA,GA,USA,30315-5918,FULTON,43,450,488210,SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION,TRANSPORTATION SERVICES,47890100, CARGO LOADING AND UNLOADING SERVICES ,RAIL,,34.945901,-85.3091181
JIMMY TRUCKING- INC.,61 WOODY WAY,TALKING ROCK,GA,USA,30175-3320,PICKENS,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.7380297,-85.3090285
ANGELOS TRANSPORTATION & DELIVERY SERVICE,6413 POLAR FOX CT,RIVERDALE,GA,USA,30296-2344,CLAYTON,43,1,484220,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129904,DRAYING LOCAL: WITHOUT STORAGE,TRUCK,Dray,34.9700642,-85.3090125
SILVER LINING SPA,351 COMMERCIAL DR STE A,SAVANNAH,GA,USA,31406-3618,CHATHAM,538,1,492210,LOCAL MESSENGERS AND LOCAL DELIVERY,COURIER SERVICE,42159903," PACKAGE DELIVERY, VEHICULAR ",TRUCK,Courier/Parcel,34.5477401,-85.3070985
LUMPKIN STREET STORAGE LLC,109 BROAD ST,HAWKINSVILLE,GA,USA,31036-4816,PULASKI,0,2,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,OTHER,,34.3683544,-85.3070328
RANDY MARTIN,5320 HOPEWELL RD,CUMMING,GA,USA,30028-3366,FORSYTH,43,1,484220,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129905,DUMP TRUCK HAULAGE,TRUCK,Dump Truck,34.9781452,-85.3057452
UP THE ROAD PRODUCTIONS LLC,345 CLEAR CREEK CT,ROSWELL,GA,USA,30076-3013,FULTON,43,2,492210,LOCAL MESSENGERS AND LOCAL DELIVERY,COURIER SERVICE,42159903," PACKAGE DELIVERY, VEHICULAR ",TRUCK,Courier/Parcel,33.866061,-85.3028645
TOUCH UP FAIRY AUTO RECONDITIONING INC,293 GREYSTONE PKWY,HIRAM,GA,USA,30141-3173,PAULDING,43,3,492210,LOCAL MESSENGERS AND LOCAL DELIVERY,COURIER SERVICE,42159903," PACKAGE DELIVERY, VEHICULAR ",TRUCK,Courier/Parcel,33.8589253,-85.2999863
REX ISTORAGE,5351 HIGHWAY 42,ELLENWOOD,GA,USA,30294-3506,DEKALB,43,2,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,OTHER,,33.520714,-85.297048
JAHTONY TRUCKING- LLC,40 GLEN ECHO DR,COVINGTON,GA,USA,30016-7405,NEWTON,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.6694445,-85.2953222
BEECHWOOD FURNITURE OUTLET- INC.,110 COMMERCE AVE,LAGRANGE,GA,USA,30241-2338,TROUP,0,1,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,WAREHOUSING,,33.9982463,-85.2943995
BOBO'S TRUCKING- LLC,210 LARIAT LN,ELLENWOOD,GA,USA,30294-2764,DEKALB,43,3,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.4934432,-85.2931202
FAST FREIGHT TRANSPORT,2002 HIGHWAY 42 N,MCDONOUGH,GA,USA,30253-4730,HENRY,43,2,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310100, TRANSPORTATION AGENTS AND BROKERS ,TRUCK,,34.8823001,-85.292999
JOA'S HOLIDAY SERVICE CENTER,6930 LANIER ISLANDS PKWY,BUFORD,GA,USA,30518-1465,GWINNETT,43,3,488330,NAVIGATIONAL SERVICES TO SHIPPING,TOWING/TUGBOAT SERVICES,44920000,TOWING AND TUGBOAT SERVICE,OCEAN,,33.840573,-85.2924939
C & B TRUCKING COMPANY,623 JARRELL POND RD,SYLVANIA,GA,USA,30467-8108,SCREVEN,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.7419863,-85.2924737
GOOD DEAL TRUCKING INC.,107 OCONEE MEADOWS WAY,EATONTON,GA,USA,31024-2308,PUTNAM,0,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.8711879,-85.2907896
MERCURY AIR CENTERS- INC.,2040 AIRPORT RD,ATLANTA,GA,USA,30341-4900,DEKALB,43,25,488190,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,AIRPORT/AIRPORT SERVICES,45810202,AIRCRAFT SERVICING AND REPAIRING,AIR,,34.6847207,-85.2901016
HEMPHILL TRUCKING,2004 CLARY CONNECTOR,EASTANOLLEE,GA,USA,30538-3242,STEPHENS,0,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.496426,-85.290009
TAKE A LOAD OFF TRUCKING LLC,6060 NEBO RD,HIRAM,GA,USA,30141-4234,PAULDING,43,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.6747419,-85.2899282
SAFE & SECURE COURIER SERVICE,17312 SPRING CHASE CIR,STONE MOUNTAIN,GA,USA,30083-4118,DEKALB,43,2,492110,COURIERS AND EXPRESS DELIVERY SERVICES,COURIER SERVICE,42150000,COURIER SERVICES EXCEPT BY AIR,TRUCK,Courier/Parcel,34.4190909,-85.2876461
