Name,MetroArea,Description,Address,Latitude,Longitude,Website,Phone,Delivery
Big Kahuna,Atlanta,"Salads,Tacos,Wraps","303 Peachtree Center Ave NE, Atlanta",33.7627649,-84.3864991,https://www.grubhub.com/restaurant/big-kahuna-303-peachtree-center-ave-ne-atlanta/2032038,(404) 343-0409,checked
Birada's Palie's Hot Pizza,Atlanta,"American,Dinner,Pizza","895 Joseph E Boone Blvd NW, Atlanta",33.7637221,-84.4168357,https://www.grubhub.com/restaurant/biradas-palies-hot-pizza-895-joseph-e-boone-blvd-nw-atlanta/508657,(470) 558-0750,checked
Bistro VG,Atlanta,,"70 W Crossville Rd, Roswell, GA 30075, USA",34.0486219,-84.3632824,http://www.bistrovgroswell.com/,(770) 993-1156,
Black Bear Tavern,Atlanta,"Hamburgers,Hot Dogs,Pasta,Salads,Sandwiches,Seafood,Tacos","1931 Peachtree Street Northeast, Atlanta",33.7987947,-84.3915455,https://www.grubhub.com/restaurant/black-bear-tavern-1931-peachtree-street-northeast-atlanta/1760708,,checked
Black Sheep Tavern & Oyster Room,Atlanta,"Chicken,Seafood","330 Edgewood Ave SE, Atlanta",33.7546211,-84.3768344,https://www.grubhub.com/restaurant/black-sheep-tavern--oyster-room-330-edgewood-ave-se-atlanta/1943269,(470) 355-3964,checked
Blimpie,Atlanta,"Dinner,Lunch Specials,Sandwiches,Subs","340 Boulevard Northeast, Atlanta",33.7634237,-84.3723585,https://www.grubhub.com/restaurant/blimpie-340-boulevard-northeast-atlanta/1744769,,checked
Blu Cantina,Atlanta,,"1246 Glenwood Ave SE, Atlanta, GA 30316, USA",33.7403531,-84.3468721,http://www.blucantina.com/,(404) 254-2151,checked
Blue India,Atlanta,"Asian,Dinner,Indian,Lunch","933 Peachtree St NE Ste 915, Atlanta",33.7806435,-84.3839111,https://www.grubhub.com/restaurant/blue-india-933-peachtree-st-ne-ste-915-atlanta/865565,(404) 963-5775,checked
Blue Moon Pizza,Atlanta,,"325 East Paces Ferry Rd NE #3, Atlanta, GA 30305, USA",33.8387366,-84.3769165,http://bluemoonpizza.com/,(404) 814-1515,checked
Bocado,Atlanta,,"887 Howell Mill Rd NW, Atlanta, GA 30318, USA",33.7793459,-84.4097455,http://bocadoatlanta.com/,(404) 815-1399,checked
BoccaLupo,Atlanta,,"753 Edgewood Ave NE, Atlanta, GA 30307, USA",33.7546985,-84.362769,http://boccalupoatl.com/,(404) 577-2332,
Bon Ton,Atlanta,,"674 Myrtle St NE, Atlanta, GA 30308, USA",33.7729895,-84.3804087,http://bontonatl.com/,(404) 996-6177,checked
Bonefish Grill,Atlanta,Open for Take out and Delivery 12-9 pm,1350 Scenic Hey. Snellville GA. 30078,33.8995323,-84.0043481,bg7106@bonefishgrill.com,(678) 344-8945,checked
Boogalou Restaurant,Atlanta,"Cajun,Chicken,Creole,Dessert,Hamburgers,Pasta,Salads","239 Ponce De Leon Ave NE, Atlanta",33.7724045,-84.3794665,https://www.grubhub.com/restaurant/boogalou-restaurant-239-ponce-de-leon-ave-ne-atlanta/2032203,(404) 464-7705,checked
Boru Ramen Noodle and Poke Bar,Atlanta,,"440 Ernest W Barrett Pkwy NW #16, Kennesaw, GA 30144, USA",34.012755,-84.5645018,http://boruramenpoke.com/,(770) 627-3312,checked
Breakfast All Day Everyday,Atlanta,"American,Breakfast,Healthy,Sandwiches","567 Courtland St NE, Atlanta",33.770061,-84.383841,https://www.grubhub.com/restaurant/breakfast-all-day-everyday-567-courtland-st-ne-atlanta/1716963,,checked
Brklyn Kitchen and Lounge,Atlanta,"Pasta,Pizza,Salads","12 W Peachtree Pl NW, Atlanta",33.7639333,-84.3880911,https://www.grubhub.com/restaurant/brklyn-kitchen-and-lounge-12-w-peachtree-pl-nw-atlanta/2036792,(404) 861-2242,checked
BTJ Wings,Atlanta,"Chicken,Wings","825 Martin Luther King Junior Drive Northwest, Atlanta",33.7548165,-84.4138715,https://www.grubhub.com/restaurant/btj-wings-825-martin-luther-king-junior-drive-northwest-atlanta/1489430,,checked
Budi Sushi,Atlanta,,"349 Decatur St SE, Atlanta, GA 30312, USA",33.7497251,-84.3789881,http://www.budissushi.com/,(404) 907-4500,checked
BuDi's Sushi,Atlanta,"Asian,Asian Fusion,Japanese,Lunch,Ramen","349 Decatur Street Southeast, Atlanta",33.7497251,-84.3789881,https://www.grubhub.com/restaurant/budis-sushi-349-decatur-street-southeast-atlanta/1490820,,checked
Buena Vida,Atlanta,,"385 N Angier Ave NE Suite 100, Atlanta, GA 30308, USA",33.7699711,-84.3637853,http://www.buenavidatapas.com/,(404) 948-2312,
Buenos Dias Cafe,Atlanta,"Coffee and Tea,Healthy,Latin American,Lunch Specials,Vegan,Vegetarian","30 Decatur St SE, Atlanta",33.753858,-84.3886564,https://www.grubhub.com/restaurant/buenos-dias-cafe-30-decatur-st-se-atlanta/295599,(404) 584-0444,checked
Buffalo China,Atlanta,"Asian,Chicken,Chinese,Wings","461 Moreland Ave SE, Atlanta",33.7414183,-84.3494705,https://www.grubhub.com/restaurant/buffalo-china-461-moreland-ave-se-atlanta/1598239,(404) 622-8888,checked
Bulla Gastrobar,Atlanta,,"60 11th St NE, Atlanta, GA 30309, USA",33.7835027,-84.3853336,https://bullagastrobar.com/locations/atlanta,(404) 900-6926,checked
Bulla Gastrobar- Atlanta,Atlanta,"Spanish,Tapas","60 11th St NE, Atlanta",33.7835027,-84.3853336,https://www.grubhub.com/restaurant/bulla-gastrobar--atlanta-60-11th-st-ne-atlanta/2038758,(404) 900-6926,checked
Bun Mi Grill,Atlanta,,"2277 Peachtree Rd suite h, Atlanta, GA 30309, USA",33.8157669,-84.3903581,https://www.bunmigrill.com/,(678) 705-9156,checked
Burger Bytes,Atlanta,"American,Chicken,Fast Food,Hamburgers,Sandwiches,Wings","567 Courtland St NE, Atlanta",33.770061,-84.383841,https://www.grubhub.com/restaurant/burger-bytes-567-courtland-st-ne-atlanta/1419796,,checked
Burgerfi,Atlanta,"Burgers, chicken, Beyond burger, Veggie Burger,Fries, and onion rings Fresh made to order",2844 South Main Street,41.0098552,-81.5240755,"order.burgerfi,com",(770) 635-2800,checked
Burgers & Friends,Atlanta,"American,Hamburgers","303 Peachtree Center Ave NE, Suite 14, Atlanta",33.7627649,-84.3864991,https://www.grubhub.com/restaurant/burgers--friends-303-peachtree-center-ave-ne-suite-14-atlanta/881353,(404) 610-7770,checked
Burn Burger,Atlanta,"American,Chicken,Fast Food,Hamburgers,Sandwiches,Wings","567 Courtland St NE, Atlanta",33.770061,-84.383841,https://www.grubhub.com/restaurant/burn-burger-567-courtland-st-ne-atlanta/1716745,,checked
Butcher & Brew,Atlanta,,"985 Monroe Dr NE UNIT C, Atlanta, GA 30308, USA",33.7814204,-84.3684847,http://www.midtownbutcher.com/,(404) 343-3614,
Buttermilk Kitchen,Atlanta,,"4225 Roswell Rd NE, Atlanta, GA 30342, USA",33.8698513,-84.380612,http://buttermilkkitchen.com/,(678) 732-3274,
C & C Hot Wings,Atlanta,"American,Chinese,Fast Food,Seafood,Wings","1336 Moreland Avenue Southeast, Atlanta",33.713064,-84.3495377,https://www.grubhub.com/restaurant/c--c-hot-wings-1336-moreland-avenue-southeast-atlanta/1490592,,checked
Cafe + Velo,Atlanta,"Breakfast,Lunch Specials,Sandwiches","381 Edgewood Ave, Atlanta",33.754229,-84.375024,https://www.grubhub.com/restaurant/cafe--velo-381-edgewood-ave-atlanta/347702,(404) 458-2979,checked
Cafe Agora Midtown,Atlanta,"Dinner,Lunch Specials,Mediterranean,Middle Eastern,Salads,Sandwiches","92 Peachtree Pl NE, Atlanta",33.7809433,-84.3844581,https://www.grubhub.com/restaurant/cafe-agora-midtown-92-peachtree-pl-ne-atlanta/315820,(404) 253-2997,checked
Cafe Intermezzo,Atlanta,"Bar Food,Cafe,Coffee and Tea,French,Vegetarian","1065 Peachtree Street Northeast, Atlanta",33.7833563,-84.3832007,https://www.grubhub.com/restaurant/cafe-intermezzo-1065-peachtree-street-northeast-atlanta/1489485,,checked
Cafe Lucia,Atlanta,"Coffee and Tea,Salads,Sandwiches","205 12th St NE, Atlanta",33.7838008,-84.3804067,https://www.grubhub.com/restaurant/cafe-lucia-205-12th-st-ne-atlanta/1536130,(404) 500-2377,checked
Cafe Songhai,Atlanta,West African Cuisine,"3380 Holcomb Bridge Rd, Peachtree Corners, GA 30092",33.9520699,-84.240269,https://g.co/kgs/RJTXaU,(470) 359-2969,checked
Cafe Sunflower,Atlanta,,"2140 Peachtree Rd NW, Atlanta, GA 30309, USA",33.8130585,-84.3938462,http://www.cafesunflower.com/,(404) 352-8859,checked
California Pizza Kitchen,Atlanta,"Dinner,Lunch Specials,Pizza","264 19th St NW, Ste 2150, Atlanta",33.7930185,-84.397095,https://www.grubhub.com/restaurant/california-pizza-kitchen-264-19th-st-nw-ste-2150-atlanta/325704,,checked
Callie's Hot Little Biscuit,Atlanta,,"1004 Virginia Ave NE, Atlanta, GA 30306, USA",33.782488,-84.3545174,https://calliesbiscuits.com/pages/hlb-atlanta,(404) 330-8285,
Callie's Hot Little Biscuit - Atlanta,Atlanta,"Breakfast,Sandwiches","1004 Virginia Ave NE, Atlanta",33.782488,-84.3545174,https://www.grubhub.com/restaurant/callies-hot-little-biscuit---atlanta-1004-virginia-ave-ne-atlanta/2057804,(404) 330-8285,checked
Cameli's Pizza,Atlanta,"Dinner,Hamburgers,Pasta,Pizza,Sandwiches","337 Moreland Ave NE, Atlanta",33.7637062,-84.3489878,https://www.grubhub.com/restaurant/camelis-pizza-337-moreland-ave-ne-atlanta/384315,(404) 522-1624,checked
Canoe,Atlanta,,"4199 Paces Ferry Rd SE, Atlanta, GA 30339, USA",33.8599248,-84.4558426,http://www.canoeatl.com/,(770) 432-2663,
Caribbean Delight,Atlanta,"Caribbean,Dinner,Healthy,Lunch Specials,Vegan,Vegetarian","576 Lee St SW Ste B, Atlanta",33.7393507,-84.4133867,https://www.grubhub.com/restaurant/caribbean-delight-576-lee-st-sw-ste-b-atlanta/303324,(404) 750-4170,checked
Char Korean Bar & Grill,Atlanta,"Asian Fusion,Korean","299 North Highland Avenue Northeast, Atlanta",33.7623174,-84.3587589,https://www.grubhub.com/restaurant/char-korean-bar--grill-299-north-highland-avenue-northeast-atlanta/2041191,(404) 525-2427,checked
Che Butter Jonez,Atlanta,"Dinner,Hamburgers,Pasta,Vegan","675 Metropolitan Pkwy SW Ste 5000, Atlanta",33.7367796,-84.4082429,https://www.grubhub.com/restaurant/che-butter-jonez-675-metropolitan-pkwy-sw-ste-5000-atlanta/1005714,(404) 919-4061,checked
Chicken Salad Chick,Atlanta,,"2810 Paces Ferry Rd SE #310, Atlanta, GA 30339, USA",33.864981,-84.470202,https://www.chickensaladchick.com/vinings/?utm_source=GMB&utm_medium=organic&utm_campaign=atlanta,(678) 921-3416,checked
Chin Chin Chinese Cuisine,Atlanta,"Asian,Asian Fusion,Cantonese,Chinese,Salads","1715 Howell Mill Road, Atlanta",33.8019496,-84.4131988,https://www.grubhub.com/restaurant/chin-chin-chinese-cuisine-1715-howell-mill-road-atlanta/1491204,,checked
China Express,Atlanta,"Lunch Specials,Noodles,Seafood,Soup","1988 Candler Rd, Atlanta",33.7327191,-84.2839638,https://www.grubhub.com/restaurant/china-express-1988-candler-rd-decatur/1739103,(404) 286-2888,checked
Chipotle,Atlanta,"Bowls,Burritos,Tacos","718 Ponce De Leon Avenue Northeast, Atlanta",33.7739133,-84.3635409,https://www.grubhub.com/restaurant/chipotle-718-ponce-de-leon-avenue-northeast-atlanta/1331034,,checked
Chom Chom Vietnamese Kitchen,Atlanta,,"2390 Chamblee Tucker Rd Ste 101, Chamblee, GA 30341, USA",33.8866532,-84.2922684,https://www.chomchomatl.com/,(470) 375-3190,checked
Chong Qing Hot Pot,Atlanta,Authentic Szechuan Chinese Cuisine,"5385 New Peachtree Road, Chamblee, GA 30341",33.8905571,-84.3000811,https://www.yelp.com/biz/chong-qing-hot-pot-chamblee,(770) 936-1379,checked
Cibo e Beve,Atlanta,,"4969 Roswell Rd, Sandy Springs, GA 30342, USA",33.8900622,-84.3807352,http://www.ciboatlanta.com/,(404) 250-8988,checked
"City Winery Atlanta Barrel Room &
Restaurant (Atlanta)",Atlanta,"American,Dinner,Lunch,Pizza,Salads,Wings","650 North Avenue NE, Atlanta",33.7715446,-84.3672662,https://www.grubhub.com/restaurant/city-winery-atlanta-barrel-room--restaurant-atlanta-650-north-avenue-ne-atlanta/2045141,(404) 946-3791,checked
Clean Juice Sandy Springs,Atlanta,"Cold pressed juices, smoothies, a�a� bowls, toasts and salads 100% USDA certified organic","6125 Roswell Road Suite 1050, Atlanta, Ga 30328",33.9220979,-84.3781545,www.cleanjuice.com,(404) 565-0493,checked
Coalition Food and Beverage,Atlanta,Expressive American Cuisine,"50 Canton Street #108 Alpharetta, GA 30009",34.0764638,-84.2969765,www.coalitionfoodandbeverage.com,(470) 839-6725,checked
Cold Beer,Atlanta,"Cold Beer is the newest concept from Kevin Gillespie and the team at Red Beard Restaurants. It is located in the Old Fourth Ward along the newly opened Eastern Trail on the Atlanta BeltLine, next to the Edgewood bridge.","670 Dekalb Ave. NE Suite 101 Atlanta, GA",33.7535491,-84.3655673,https://www.coldbeeratl.com/,(404) 254-1032,checked
Cooks & Soldiers,Atlanta,,"1544 Piedmont Ave NE #403-R, Atlanta, GA 30324, USA",33.7980584,-84.3706535,https://www.cookswarehouse.com/,(404) 815-4993,checked
Copper Coin,Atlanta,"Coffee, tea, full bar, beer & wine to go, breakfast, & lunch","400 Chambers Street, Woodstock GA 30188",34.0998246,-84.5189943,https://coppercoinwoodstock.com/#menu,(470) 308-6914,checked
Cowboy Chicken,Atlanta,"Cowboy Chicken, the fast casual chain specializing in wood-fired rotisserie chicken, offers free delivery and curbside pick-up at locations nationwide.","90 S Point Blvd, McDonough, GA 30253",33.4255273,-84.1891148,https://www.cowboychicken.com/,,checked
Crave at Little 5 Points,Atlanta,"Hamburgers,Sandwiches","1126 Euclid Ave NE, Atlanta",33.7645795,-84.3504873,https://www.grubhub.com/restaurant/crave-at-little-5-points-1126-euclid-ave-ne-atlanta/1401641,(786) 897-6270,checked
Crazy Cuban,Atlanta,,"290 14th St NW, Atlanta, GA 30318, USA",33.785861,-84.3965614,http://www.facebook.com/CrazyCubanSandwichShop/,(404) 607-7348,checked
Crazy Love Coffe House,Atlanta,,"1088 Canton St, Roswell, GA 30075, USA",34.0282314,-84.3617833,https://www.crazylove.coffee/,(770) 545-8228,
Creatwood Tavern,Atlanta,,"1090 Windy Hill Rd SE #300, Smyrna, GA 30080, USA",33.8940348,-84.5211331,http://www.creatwood-tavern.com/,(470) 308-0824,checked
Cross Creek Cafe,Atlanta,Classic grill cafe and comfort food,"1221 cross creek parkway NW Atlanta, GA 30327",33.8213365,-84.4273903,http://www.crosscreekcafe.com/,(404) 351-1550,checked
Cultivate,Atlanta,,"1952 Howell Mill Rd NW Suite 200, Atlanta, GA 30318, USA",33.8079302,-84.4128488,http://www.cultivating.co/,(404) 600-2964,checked
CZ Smokez BBQ,Atlanta,"BBQ,Dinner,Lunch Specials,Soul Food,Wings","336 McDaniel St SW, Atlanta",33.745631,-84.4055092,https://www.grubhub.com/restaurant/cz-smokez-bbq-336-mcdaniel-st-sw-atlanta/358962,(404) 458-2919,checked
D Events Catering,Atlanta,"Bowls,Wraps","1550 Ralph David Abernathy Blvd SW, Atlanta",33.7436834,-84.4384734,https://www.grubhub.com/restaurant/d-events-catering-1550-ralph-david-abernathy-blvd-sw-atlanta/1412722,(470) 305-7615,checked
D.B.A. BBQ,Atlanta,,"1190 North Highland Avenue Northeast UNIT B, Atlanta, GA 30306, USA",33.7872728,-84.3556498,http://www.dbabarbecue.com/,(404) 249-5000,checked
Daddy D'z BBQ Joynt,Atlanta,"BBQ,Ribs,Sandwiches,Soup","264 Memorial Drive Southeast, Atlanta",33.74706,-84.3789696,https://www.grubhub.com/restaurant/daddy-dz-bbq-joynt-264-memorial-drive-southeast-atlanta/1330470,,checked
Dakota Blue,Atlanta,"Burritos,Hamburgers,Mexican,Salads,Tacos,Wraps","454 Cherokee Ave SE, Atlanta",33.7420571,-84.3733065,https://www.grubhub.com/restaurant/dakota-blue-454-cherokee-ave-se-atlanta/1407943,(404) 589-8002,checked
Dancing Goats,Atlanta,,"650 North Avenue NE, Atlanta, GA 30308, USA",33.7715446,-84.3672662,http://www.batdorfcoffee.com/,(404) 874-0370,
Dantanna's,Atlanta,,"One CNN Center Ste. 269, Atlanta, GA 30303, USA",33.7578059,-84.3950463,http://dantannas.com/dantannas-downtown/,(404) 522-8873,checked
Dark Horse Tavern,Atlanta,"American,Dinner,Hamburgers,Late Night,Lunch Specials,Pub Food,Sandwiches","816 N Highland Ave NE, Atlanta",33.7768066,-84.3526953,https://www.grubhub.com/restaurant/dark-horse-tavern-816-n-highland-ave-ne-atlanta/337055,(404) 873-3607,checked
